scenario,seed,policy,eviction_penalty,requests,prefill_tokens_total,prefill_tokens_p95,cache_hit_ratio,evicted_tokens_total
mixed,18,LRU,0.0,1000.0,103470.0,227.0999999999999,0.19314717051754926,103041.0
mixed,18,upstream-LCP,0.0,1000.0,91934.0,217.0999999999999,0.2831042038693377,91505.0
mixed,18,cost-aware-0.25,0.25,1000.0,103029.0,230.04999999999995,0.19658606196242953,101675.0
mixed,18,cost-aware-0.5,0.5,1000.0,103029.0,230.04999999999995,0.19658606196242953,101675.0
mixed,18,cost-aware-1.0,1.0,1000.0,103029.0,230.04999999999995,0.19658606196242953,101675.0
mixed,19,LRU,0.0,1000.0,98359.0,218.0,0.19759340838635991,97914.0
mixed,19,upstream-LCP,0.0,1000.0,84684.0,199.0,0.30915320606950564,84239.0
mixed,19,cost-aware-0.25,0.25,1000.0,96188.0,213.0,0.21530429107521618,94971.0
mixed,19,cost-aware-0.5,0.5,1000.0,96188.0,213.0,0.21530429107521618,94971.0
mixed,19,cost-aware-1.0,1.0,1000.0,96188.0,213.0,0.21530429107521618,94971.0
one-shot,0,LRU,0.0,1000.0,35437.0,65.04999999999995,0.3604237731694551,35223.0
one-shot,0,upstream-LCP,0.0,1000.0,35319.0,63.049999999999955,0.36255346797336074,35105.0
one-shot,0,cost-aware-0.25,0.25,1000.0,35338.0,64.0,0.3622105510134099,34892.0
one-shot,0,cost-aware-0.5,0.5,1000.0,35338.0,64.0,0.3622105510134099,34892.0
one-shot,0,cost-aware-1.0,1.0,1000.0,35338.0,64.0,0.3622105510134099,34892.0
one-shot,1,LRU,0.0,1000.0,36091.0,66.0,0.35613872337388947,35804.0
one-shot,1,upstream-LCP,0.0,1000.0,35987.0,66.0,0.35799407713990083,35700.0
one-shot,1,cost-aware-0.25,0.25,1000.0,35882.0,65.04999999999995,0.35986727084597,35358.0
one-shot,1,cost-aware-0.5,0.5,1000.0,35882.0,65.04999999999995,0.35986727084597,35358.0
one-shot,1,cost-aware-1.0,1.0,1000.0,35882.0,65.04999999999995,0.35986727084597,35358.0
one-shot,2,LRU,0.0,1000.0,34763.0,62.049999999999955,0.36472286690667205,34531.0
one-shot,2,upstream-LCP,0.0,1000.0,34510.0,62.0,0.3693463204254308,34278.0
one-shot,2,cost-aware-0.25,0.25,1000.0,34671.0,62.0,0.3664041227316752,34279.0
one-shot,2,cost-aware-0.5,0.5,1000.0,34671.0,62.0,0.3664041227316752,34279.0
one-shot,2,cost-aware-1.0,1.0,1000.0,34671.0,62.0,0.3664041227316752,34279.0
one-shot,3,LRU,0.0,1000.0,35142.0,65.0,0.36177400021793615,34900.0
one-shot,3,upstream-LCP,0.0,1000.0,34966.0,63.0,0.3649703970070103,34724.0
one-shot,3,cost-aware-0.25,0.25,1000.0,35070.0,64.04999999999995,0.36308161708619374,34633.0
one-shot,3,cost-aware-0.5,0.5,1000.0,35070.0,64.04999999999995,0.36308161708619374,34633.0
one-shot,3,cost-aware-1.0,1.0,1000.0,35070.0,64.04999999999995,0.36308161708619374,34633.0
one-shot,4,LRU,0.0,1000.0,34540.0,58.049999999999955,0.3662269032459311,34369.0
one-shot,4,upstream-LCP,0.0,1000.0,34443.0,57.049999999999955,0.36800675241747555,34272.0
one-shot,4,cost-aware-0.25,0.25,1000.0,34445.0,58.0,0.3679700544964128,34008.0
one-shot,4,cost-aware-0.5,0.5,1000.0,34445.0,58.0,0.3679700544964128,34008.0
one-shot,4,cost-aware-1.0,1.0,1000.0,34445.0,58.0,0.3679700544964128,34008.0
