backend,policy,trial,request,kind,ttft_ms,tpot_ms,total_ms,prompt_tokens,completion_tokens,output_tps,burst_ms
cuda,cacheflow,3,7,short_decode,32.962100000077044,4.9347411764649545,200.7432999998855,393,35,202.64487320414216,558.6450999999215
cuda,upstream,1,0,long_prefill,157.79099999963364,8.251171428647856,215.54920000016864,790,8,121.19491258271832,841.2588999999571
cuda,upstream,1,1,short_decode,99.04460000143445,11.714844117598071,497.34929999976885,393,35,85.36178458386803,841.2588999999571
cuda,upstream,1,2,long_prefill,38.41119999924558,22.57275714302003,196.4205000003858,630,8,44.30118986635272,841.2588999999571
cuda,upstream,1,3,short_decode,98.91410000091128,11.481639999995727,443.36330000078306,393,31,87.09557171278426,841.2588999999571
cuda,upstream,1,4,long_prefill,67.80459999936284,6.562385714330178,113.74129999967408,720,8,152.38360613523764,841.2588999999571
cuda,upstream,1,5,short_decode,48.29989999961981,10.708968085113002,551.6213999999309,393,48,93.37967879371526,841.2588999999571
cuda,upstream,1,6,long_prefill,42.67409999920346,6.7621571428649725,90.00919999925827,720,8,147.88180441135427,841.2588999999571
cuda,upstream,1,7,short_decode,24.662499999976717,8.823238297872136,439.3546999999671,393,48,113.33707265292448,841.2588999999571
cuda,upstream,2,0,long_prefill,148.61029999883613,7.323485714420842,199.87469999978202,790,8,136.54699947470058,752.357999999731
cuda,upstream,2,1,short_decode,17.31900000049791,14.648400000017622,456.77100000102655,393,31,68.2668414296986,752.357999999731
cuda,upstream,2,2,long_prefill,146.8246000004001,7.38845714269181,198.54379999924276,630,8,135.34625439211436,752.357999999731
cuda,upstream,2,3,short_decode,146.86910000091302,10.1482411764664,491.9093000007706,393,35,98.5392426737929,752.357999999731
cuda,upstream,2,4,long_prefill,69.96900000012829,6.981500000100433,118.83950000083132,720,8,143.23569433296777,752.357999999731
cuda,upstream,2,5,short_decode,68.61489999937476,9.930911904770515,485.7131999997364,393,43,100.69568732350045,752.357999999731
cuda,upstream,2,6,long_prefill,48.54230000091775,6.658157142737764,95.1494000000821,720,8,150.19170899123756,752.357999999731
cuda,upstream,2,7,short_decode,34.10310000072059,7.233154761880066,337.8955999996833,393,43,138.2522610009905,752.357999999731
cuda,upstream,3,0,long_prefill,44.52029999993101,21.301085714315246,193.62790000013774,790,8,46.94596385422537,677.0914000007906
cuda,upstream,3,1,short_decode,84.43179999994754,12.152948936187734,655.620400000771,393,48,82.2845553989212,677.0914000007906
cuda,upstream,3,2,long_prefill,155.44609999960812,7.608042857100372,208.70239999931073,630,8,131.4398484318116,677.0914000007906
cuda,upstream,3,3,short_decode,154.54399999907764,11.101395833369073,420.9774999999354,393,25,90.07876261777417,677.0914000007906
cuda,upstream,3,4,long_prefill,68.70410000010452,10.803385714357969,144.3278000006103,720,8,92.56357464595337,677.0914000007906
cuda,upstream,3,5,short_decode,86.49030000015046,8.53791818181807,274.32450000014796,393,23,117.12457049887769,677.0914000007906
cuda,upstream,3,6,long_prefill,42.98419999940961,7.060857142797821,92.41019999899436,720,8,141.62586493057927,677.0914000007906
